#TAG;MARK;NAME;DESCRIPTION;CATEGORY;SECTION;NOTE
;;uget;easy-to-use download manager written in GTK+;;net;
;rice;unclutter;hides the mouse cursor in X after a period of inactivity;;x11;
proprietary;rice;unrar;Unarchiver for .rar files (non-free version);;non-free/utils;
;;unzip;De-archiver for .zip files;;utils;
;;urlscan;Extract and browse the URLs contained in an email (urlview replacement);;mail;
proprietary;openbox;vifm;flexible vi-like file manager using ncurses;;utils;
;;vim;Vi IMproved - enhanced vi editor;;editors;
;;virtualbox;virtual machine;virtual machine;;
;;volumeicon-alsa ;systray volume icon for alsa;;sound;
;;w3m;WWW browsable pager with excellent tables/frames support;;web;
;;wavemon;Wireless Device Monitoring Application;;net;
;rice;webmin;web-based interface for system administration for Unix;;;
;rice;wget;retrieves files from the web;;web;
;rice;wicd; wired and wireless network manager - metapackage;;net;
;rice;Wing Pro IDE;full-featured Python IDE designed for professional developers;;;
;rice;x11vnc;VNC server to allow remote access to an existing X session;;x11;
;rice;xbacklight;simple utility to set the backlight level;;x11;
;rice;xcalib;Tiny monitor calibration loader for Xorg;;x11;
;rice;xcalib;Tiny monitor calibration loader for Xorg;;x11;
;rice;xclip;command line interface to X selections;;x11;
;rice;xdotool;simulate (generate) X11 keyboard/mouse input events;;x11;
;rice;xfce4-terminal;Xfce terminal emulator;;xfce;
proprietary;;xinput;Runtime configuration and test of XInput devices;;x11;
;rice;xosd-bin;X On-Screen Display library - binary files;;x11;
;;xserver-xorg-input-synaptics;Synaptics TouchPad driver for X.Org server;;x11;
;rice;xterm;X terminal emulator;;x11;
;rice;youtube-dl;downloader of videos from YouTube and other sites;;web;
;;youtube-viewer;a lightweight application for searching and streaming videos from YouTube;;;
;rice;zathura;document viewer with a minimalistic interface;;text;
;rice;zathura-djvu;DjVu support for zathura;;text;
